RestaurantID,Name,City,Capacity,WorkingHours
1,Brainbox,Roanoke,31,9:00 AM - 5:00 PM
2,Riffpedia,Belung Satu,36,8:00 AM - 4:30 PM
3,Centidel,Shuangtian,43,9:00 AM - 5:00 PM
4,Shufflebeat,Burbank,45,8:00 AM - 4:30 PM
5,JumpXS,Melun,49,10:00 AM - 6:30 PM
6,Twitterlist,Basel,47,11:30 AM - 8:00 PM
7,Zoonder,Sémbé,15,11:30 AM - 8:00 PM
8,Feedspan,Carhuac,47,12:00 PM - 9:00 PM
9,Buzzbean,Kítsi,35,9:00 AM - 5:00 PM
10,Youspan,Campos Sales,41,8:00 AM - 4:30 PM
11,Zooxo,Qingjiangqiao,34,9:00 AM - 5:00 PM
12,Vipe,Tianzhou,34,11:30 AM - 8:00 PM
13,Photojam,Aţ Ţafīlah,47,11:30 AM - 8:00 PM
14,Fivechat,Qindu,42,11:30 AM - 8:00 PM
15,Livefish,Utrecht (stad),22,12:00 PM - 9:00 PM
16,Skidoo,Urozhaynoye,39,9:00 AM - 5:00 PM
17,Eadel,Ad Dabbah,12,9:00 AM - 5:00 PM
18,Riffpath,Karvia,40,9:00 AM - 5:00 PM
19,Einti,Jönköping,41,10:00 AM - 6:30 PM
20,Quaxo,Poponcol,22,11:30 AM - 8:00 PM
21,Skinte,Miskolc,21,10:00 AM - 6:30 PM
22,Devshare,Belo Jardim,23,8:00 AM - 4:30 PM
23,Livetube,Serowe,37,10:00 AM - 6:30 PM
24,Yombu,Torbat-e Jām,10,12:00 PM - 9:00 PM
25,Zooxo,Zipárion,14,9:00 AM - 5:00 PM
26,Skipfire,Lleida,25,10:00 AM - 6:30 PM
27,Kwimbee,Linjiang,35,8:00 AM - 4:30 PM
28,Demivee,Železnice,27,9:00 AM - 5:00 PM
29,Aimbo,Cacequi,26,12:00 PM - 9:00 PM
30,Skiptube,Qionghu,25,10:00 AM - 6:30 PM
31,Shufflester,Komsomolets,18,9:00 AM - 5:00 PM
32,Skalith,Tpig,27,10:00 AM - 6:30 PM
33,Dynabox,Markušica,23,9:00 AM - 5:00 PM
34,Flashpoint,Bendo,29,10:00 AM - 6:30 PM
35,Topicshots,Fajsławice,11,11:30 AM - 8:00 PM
36,Skaboo,Montinho,27,11:30 AM - 8:00 PM
37,Ozu,Duobao,24,11:30 AM - 8:00 PM
38,Thoughtstorm,Bugo,33,10:00 AM - 6:30 PM
39,Nlounge,Daying,31,11:30 AM - 8:00 PM
40,Oyondu,Kumbo,47,11:30 AM - 8:00 PM
41,Gabcube,Zhigulevsk,17,11:30 AM - 8:00 PM
42,Blogpad,Bartica,24,8:00 AM - 4:30 PM
43,Tambee,Cariaco,35,10:00 AM - 6:30 PM
44,Eayo,Hancheng,38,12:00 PM - 9:00 PM
45,Dabfeed,Manchester,42,9:00 AM - 5:00 PM
46,Youspan,Businovo,45,9:00 AM - 5:00 PM
47,Fiveclub,Karviná,16,11:30 AM - 8:00 PM
48,Kwilith,Monastyrishche,50,9:00 AM - 5:00 PM
49,Jaxbean,Paupanda Bawah,14,12:00 PM - 9:00 PM
50,Quimm,Kaulon,16,12:00 PM - 9:00 PM
51,Buzzdog,Mtsensk,22,11:30 AM - 8:00 PM
52,Youfeed,Huxingshan,17,9:00 AM - 5:00 PM
53,Feedmix,Lemland,29,11:30 AM - 8:00 PM
54,Skyble,San Juan,36,11:30 AM - 8:00 PM
55,Yata,Lavandeira,50,8:00 AM - 4:30 PM
56,Thoughtbridge,Jackson,19,12:00 PM - 9:00 PM
57,Yamia,Neryungri,36,8:00 AM - 4:30 PM
58,Skyba,Bisée,39,10:00 AM - 6:30 PM
59,Avamba,Wailang,21,8:00 AM - 4:30 PM
60,Skivee,Jacareí,18,10:00 AM - 6:30 PM
61,Devpulse,Taganak,10,9:00 AM - 5:00 PM
62,Rhybox,Binlod,19,11:30 AM - 8:00 PM
63,Wordify,Xiangrong,40,10:00 AM - 6:30 PM
64,Vidoo,Donetsk,37,10:00 AM - 6:30 PM
65,Dabshots,Kostino,13,10:00 AM - 6:30 PM
66,Eayo,Kiihtelysvaara,44,12:00 PM - 9:00 PM
67,Voomm,Uralo-Kavkaz,12,11:30 AM - 8:00 PM
68,Youspan,Dzüyl,43,8:00 AM - 4:30 PM
69,Oyoloo,Bertioga,30,8:00 AM - 4:30 PM
70,Talane,Plumbon,10,8:00 AM - 4:30 PM
71,Meevee,Māmu Kānjan,34,8:00 AM - 4:30 PM
72,Izio,Guogan,44,9:00 AM - 5:00 PM
73,Gabtune,Hīsh,42,11:30 AM - 8:00 PM
74,Cogidoo,Narganá,26,10:00 AM - 6:30 PM
75,Lazz,Napalitan,30,8:00 AM - 4:30 PM
76,Flashspan,Firá,10,10:00 AM - 6:30 PM
77,Linklinks,Wanhu,41,12:00 PM - 9:00 PM
78,Zoozzy,Zdounky,21,9:00 AM - 5:00 PM
79,Wordify,Dasht-e Qal‘ah,43,10:00 AM - 6:30 PM
80,Trilia,Jiworejo,39,9:00 AM - 5:00 PM
81,Skyble,Sumberan,25,8:00 AM - 4:30 PM
82,Trudoo,Heung-hai,16,9:00 AM - 5:00 PM
83,Dabjam,Nueva Loja,23,8:00 AM - 4:30 PM
